id,name,oao,address,avcr_note,avcr_date,mkcr_note,mkcr_date
101435,Technické muzeum v Brně,Technické muzeum v Brně,Purkyňova 105<br> 61200 Brno,–,–,čj. 7736/2006,22.8.2006
48511005,"Ústav archeologické památkové péče Brno, v.v.i.",ÚAPP Brno,Kaloudova 30<br> 61400 Brno,"kraj Vysočina, Jihomoravský, Olomoucký, Zlínský",25.4.2019 (na 5 let),"Rozhodnutí ministra kultury č, 7/1993, Pověřovací listina MK ČR č. j. 5611/95 ze dne 27. 4. 1995",–
49276433,Ústav archeologické památkové péče středních Čech,ÚAPPSČ Praha,Nad Olšinami 3/448<br> 10000 Praha 10,kraj Středočeský,12/2/1999,Rozhodnutí ministra kultury č. 6/1993,18. 3. 1993
47325011,"Ústav archeologické památkové péče severozápadních Čech, v.v.i.",ÚAPPSZČ Most,Jana Žižky 835<br> 43401 Most,"kraj Ústecký, Karlovarský",12/6/1999,Rozhodnutí ministra kultury č. 5/1993,–
62690094,Univerzita Hradec Králové,UHK,Rokitanského 62<br> 50003 Hradec Králové,kraj Královéhradecký a Pardubický,10/27/2006,čj. 7.780/98,12/7/1998
216208,"Univerzita Karlova v Praze, Filosofická fakulta, Ústav pro pravěk a ranou dobu dějinnou",UK Praha,Ovocný trh 5<br> 11636 Praha 1,Česká republika,5/25/1999,4.863/98,–
61989592,Univerzita  Palackého v Olomouci,UP Olomouc,Křížkovského  511/8<br> 771 47 Olomouc,"kraj Olomoucký, Moravskoslezský, Jihomoravský, Zlínský, Vysočina, okres Ústí nad Orlicí a Svitavy",20.6.2017 (na dobu 3 let),MK 29061/2017 OPP (na dobu 3 let),4/24/2017
60162694,"Vojenský historický ústav Praha (ČR, Ministerstvo obrany)",Vojenský historický ústav,U Památníku  2<br> 130 05 Praha 3,"provádí archeologické výzkumu materiálu vojenské povahy, vojenských zařízení a míst válečných střetů po roce 1870 na území České republiky",24.10.2017 (na 3 roky),MK 55049/2017 OPP,1.9.2017 (na 3 roky)
49777513,Západočeská univerzita v Plzni - Katedra archeol. FHS ZČU v Plzni,ZČU Plzeň,Univerzitní 8<br> 30614 Plzeň,Česká republika,6/29/2000,2231/94,–
75075741,Národní zemědělské muzeum,Zemědělské muzeum,Kostelní 44<br> 170 00 Praha 7,"kraj Moravskoslezský, pouze badatelské výzkumy",16. 10. 2019 (na dobu 2 let),č.j. MK 51817/2019 OPP,30. 7. 2019 (na dobu 2 let)
26324105,"ZIP-Západočeský institut pro ochranu a dokumentaci památek, o.p.s.",ZIP Plzeň,Tomanova 3<br> 30100 Plzeň,"kraj Plzeňský, Karlovarský, Jihočeský a Hlavní město Praha",9.7.2013 + dodatek I. z 28.2.2018 - prodlouženo do 9.7.2023),čj. 3573/3/2001,5/28/2001
